"jp_daily_newsletter_mary_ann_parsons_1_1850" "jp_morning_chronicle_anne_bird_1850" "jp_morning_chronicle_dr_ellis_1846" "jp_morning_chronicle_mary_ann_parsons_2_1850" "jp_morning_chronicle_sarah_brown_1846" "jp_morning_chronicle_susan_moir_1850" "jp_morning_chronicle_wife_murder_1851" "jp_sunday_times_questionable_charity_1850" "vl_daily_newsletter_corporal_punishment_1849" "vl_morning_chronicle_captain_johnstone_1846" "vl_morning_chronicle_law_of_assault_1850" "vl_morning_chronicle_matthewson_1846" "vl_morning_chronicle_north_family_1846" "vl_morning_chronicle_william_burn_1846" "vl_remarks_on_mr_fitzroys_bill_1853" "vl_sunday_times_punishment_of_children_1850"
"what" 0.401203610832498 0.169204737732657 0.0878734622144113 0.194174757281553 0.148588410104012 0.40650406504065 0.239234449760766 0.631313131313131 0.3487358326068 0.233918128654971 0.0589622641509434 0.448765893792072 0.425790754257908 0.0796178343949045 0.337126000842815 0.114285714285714
"will" 0.100300902708124 0.112803158488438 0.0878734622144113 0.129449838187702 0.222882615156018 0.5420054200542 0.159489633173844 0.505050505050505 0.0871839581517001 0.350877192982456 0.117924528301887 0.299177262528048 0.608272506082725 0.159235668789809 0.252844500632111 0.8
"death" 0.501504513540622 0.282007896221094 0.527240773286467 1.16504854368932 0 0.2710027100271 0.0797448165869219 0 0.0871839581517001 0.116959064327485 0.412735849056604 0.149588631264024 0.182481751824818 0.0796178343949045 0.0421407501053519 0
"children" 0.200601805416249 0.169204737732657 0 0 0.222882615156018 0 0.0797448165869219 0.505050505050505 0.0871839581517001 0 0.17688679245283 0 1.338199513382 0.636942675159236 0.126422250316056 0.228571428571429
"her" 1.30391173520562 0.112803158488438 0 0.0647249190938511 1.2630014858841 0.13550135501355 0.398724082934609 0 0.0871839581517001 0 0 0 0.669099756690998 0 0 0
"him" 0.200601805416249 0 0.0878734622144113 0.194174757281553 0.222882615156018 0 0.398724082934609 0.757575757575758 0.0871839581517001 0.233918128654971 0.117924528301887 0.74794315632012 0 0.557324840764331 0.0421407501053519 0.914285714285714
"when" 0.300902708124373 0.338409475465313 0.175746924428823 0.194174757281553 0 0.40650406504065 0.318979266347687 0.252525252525253 0 0.467836257309941 0.35377358490566 0.224382946896036 0.304136253041363 0.159235668789809 0.294985250737463 0.114285714285714
"were" 0.702106318956871 0.0564015792442188 0.351493848857645 0.58252427184466 0.0742942050520059 0.677506775067751 0.0797448165869219 0 0.0871839581517001 0.116959064327485 0.235849056603774 0.37397157816006 0 0.159235668789809 0.210703750526759 0.342857142857143
"those" 0.100300902708124 0.0564015792442188 0.0878734622144113 0.58252427184466 0.445765230312036 0.13550135501355 0.159489633173844 0.126262626262626 0.2615518744551 0.116959064327485 0.294811320754717 0.37397157816006 0 0.0796178343949045 0.337126000842815 0.342857142857143
"justice" 0.300902708124373 0.282007896221094 0.0878734622144113 0.258899676375405 0.37147102526003 0.5420054200542 0.318979266347687 0 0.0871839581517001 0.350877192982456 0.117924528301887 0.149588631264024 0.182481751824818 0.0796178343949045 0.294985250737463 0.114285714285714
"should" 0 0 0.175746924428823 0.258899676375405 0.222882615156018 0.13550135501355 0.0797448165869219 0.252525252525253 0 0 0.766509433962264 0.37397157816006 0.304136253041363 0.318471337579618 0.210703750526759 0.114285714285714
"these" 0.200601805416249 0.338409475465313 0.351493848857645 0.323624595469256 0 0.13550135501355 0.398724082934609 0 0.1743679163034 0.233918128654971 0.235849056603774 0.149588631264024 0.0608272506082725 0.238853503184713 0.337126000842815 0.114285714285714
"power" 0 0.112803158488438 0.0878734622144113 0.323624595469256 0.222882615156018 0.13550135501355 0.398724082934609 0 0.1743679163034 0 0.294811320754717 0.074794315632012 0.121654501216545 0.477707006369427 0.337126000842815 0.457142857142857
"even" 0.300902708124373 0.338409475465313 0.175746924428823 0.258899676375405 0.148588410104012 0 0 0 0.1743679163034 0.350877192982456 0.294811320754717 0.299177262528048 0.182481751824818 0.238853503184713 0.252844500632111 0.114285714285714
"its" 0.300902708124373 0.394811054709532 0.439367311072056 0.194174757281553 0.297176820208024 0.13550135501355 0.159489633173844 0.126262626262626 0 0 0.294811320754717 0 0.24330900243309 0 0.337126000842815 0.114285714285714
"cases" 0.300902708124373 0.394811054709532 0.263620386643234 0.0647249190938511 0.222882615156018 0 0.239234449760766 0 0.1743679163034 0 0.235849056603774 0.074794315632012 0.182481751824818 0 0.505689001264222 0
"some" 0.100300902708124 0.451212633953751 0.0878734622144113 0.323624595469256 0.148588410104012 0 0.159489633173844 0.252525252525253 0.0871839581517001 0 0.35377358490566 0.224382946896036 0.304136253041363 0.159235668789809 0.126422250316056 0.114285714285714
"two" 0.401203610832498 0.338409475465313 0.351493848857645 0.323624595469256 0.222882615156018 0.13550135501355 0.0797448165869219 0 0.0871839581517001 0.116959064327485 0.117924528301887 0 0.364963503649635 0.159235668789809 0.168563000421408 0.228571428571429
"punishment" 0.100300902708124 0.112803158488438 0 0 0.0742942050520059 0.13550135501355 0.159489633173844 0 0.959023539668701 0 0.0589622641509434 0.149588631264024 0 0.159235668789809 0.67425200168563 0.228571428571429
"she" 1.40421263791374 0.0564015792442188 0.0878734622144113 0 0.520059435364042 0.813008130081301 0.398724082934609 0 0 0 0 0 0.364963503649635 0 0 0
"against" 0.100300902708124 0.451212633953751 0.263620386643234 0.258899676375405 0 0 0.318979266347687 0.126262626262626 0.4359197907585 0 0.0589622641509434 0.37397157816006 0.0608272506082725 0.159235668789809 0.126422250316056 0.114285714285714
"do" 0 0.169204737732657 0.351493848857645 0.0647249190938511 0.222882615156018 0.40650406504065 0.239234449760766 1.01010101010101 0 0.116959064327485 0.17688679245283 0.224382946896036 0.182481751824818 0 0.0842815002107038 0.228571428571429
"only" 0.100300902708124 0.112803158488438 0.263620386643234 0.129449838187702 0.297176820208024 0.2710027100271 0.0797448165869219 0.378787878787879 0.2615518744551 0.233918128654971 0.117924528301887 0.299177262528048 0.121654501216545 0 0.252844500632111 0.228571428571429
"much" 0.100300902708124 0.225606316976875 0.0878734622144113 0 0.148588410104012 0.13550135501355 0.0797448165869219 0.505050505050505 0 0.350877192982456 0.235849056603774 0.299177262528048 0 0.398089171974522 0.168563000421408 0.457142857142857
"without" 0 0.225606316976875 0.0878734622144113 0.0647249190938511 0.222882615156018 0 0.0797448165869219 0.126262626262626 0.4359197907585 0.116959064327485 0.117924528301887 0.074794315632012 0.0608272506082725 0.159235668789809 0.463548251158871 0.457142857142857
"evidence" 0.501504513540622 0.0564015792442188 0.0878734622144113 0.711974110032362 0 0.2710027100271 0.239234449760766 0 0 0 0 0.448765893792072 0.121654501216545 0 0.0421407501053519 0.571428571428571
"mr" 0.100300902708124 0 0.0878734622144113 0.517799352750809 0.148588410104012 0.40650406504065 0.398724082934609 0.126262626262626 0.2615518744551 0 0.117924528301887 0 0.121654501216545 0 0.168563000421408 0.457142857142857
"being" 0 0.282007896221094 0.351493848857645 0.129449838187702 0.222882615156018 0.40650406504065 0.0797448165869219 0 0.2615518744551 0.116959064327485 0.0589622641509434 0.074794315632012 0 0.318471337579618 0.126422250316056 0.342857142857143
"himself" 0 0 0.263620386643234 0.0647249190938511 0.445765230312036 0 0 0 0.1743679163034 0.467836257309941 0 0.598354525056096 0.182481751824818 0.238853503184713 0.0842815002107038 0.114285714285714
